month,item_name,sort_date,total_revenue,units_sold,avg_price
2020 Dec,#IamRemarkable Journal,2020-11-30 16:00:00+00:00,458.0,62.0,7.387096774193548
2020 Dec,#IamRemarkable Ladies T-Shirt,2020-11-30 16:00:00+00:00,104.0,10.0,10.4
2020 Dec,#IamRemarkable Lapel Pin,2020-11-30 16:00:00+00:00,87.0,32.0,2.71875
2020 Dec,#IamRemarkable Pen,2020-11-30 16:00:00+00:00,51.0,3.0,17.0
2020 Dec,#IamRemarkable Tote,2020-11-30 16:00:00+00:00,18.0,3.0,6.0
2020 Dec,#IamRemarkable Unisex Hoodie,2020-11-30 16:00:00+00:00,784.0,29.0,27.03448275862069
2020 Dec,#IamRemarkable Unisex T-Shirt,2020-11-30 16:00:00+00:00,426.0,41.0,10.390243902439025
2020 Dec,#IamRemarkable Water Bottle,2020-11-30 16:00:00+00:00,279.0,23.0,12.130434782608695
2020 Dec,Android Buoy Bottle,2020-11-30 16:00:00+00:00,306.0,74.0,4.135135135135135
2020 Dec,Android Garden Tee Orange,2020-11-30 16:00:00+00:00,164.0,10.0,16.4
2020 Dec,Android Geek Pin,2020-11-30 16:00:00+00:00,56.0,13.0,4.3076923076923075
2020 Dec,Android Hipster Pin,2020-11-30 16:00:00+00:00,50.0,12.0,4.166666666666667
2020 Dec,Android Iconic 4&quot; Decal,2020-11-30 16:00:00+00:00,12.0,8.0,1.5
2020 Dec,Android Iconic Backpack,2020-11-30 16:00:00+00:00,400.0,20.0,20.0
2020 Dec,Android Iconic Beanie,2020-11-30 16:00:00+00:00,166.0,18.0,9.222222222222221
2020 Dec,Android Iconic Crewneck Sweatshirt,2020-11-30 16:00:00+00:00,2849.0,62.0,45.95161290322581
2020 Dec,Android Iconic Glass Bottle Green,2020-11-30 16:00:00+00:00,329.0,25.0,13.16
2020 Dec,Android Iconic Hat Black,2020-11-30 16:00:00+00:00,199.0,21.0,9.476190476190476
2020 Dec,Android Iconic Hat Green,2020-11-30 16:00:00+00:00,94.0,7.0,13.428571428571429
2020 Dec,Android Iconic Hat White,2020-11-30 16:00:00+00:00,136.0,10.0,13.6
2020 Dec,Android Iconic Mug Gray,2020-11-30 16:00:00+00:00,292.0,20.0,14.6
2020 Dec,Android Iconic Notebook,2020-11-30 16:00:00+00:00,482.0,34.0,14.176470588235293
2020 Dec,Android Iconic Pen,2020-11-30 16:00:00+00:00,51.0,43.0,1.186046511627907
2020 Dec,Android Iconic Pin,2020-11-30 16:00:00+00:00,25.0,7.0,3.5714285714285716
2020 Dec,Android Iconic Socks,2020-11-30 16:00:00+00:00,160.0,11.0,14.545454545454545
2020 Dec,Android Iconic Sticker Sheet,2020-11-30 16:00:00+00:00,75.0,35.0,2.142857142857143
2020 Dec,Android Large Removable Sticker Sheet,2020-11-30 16:00:00+00:00,120.0,60.0,2.0
2020 Dec,Android Large Trace Journal Black,2020-11-30 16:00:00+00:00,20.0,3.0,6.666666666666667
2020 Dec,Android Lumberjack Pin,2020-11-30 16:00:00+00:00,112.0,27.0,4.148148148148148
2020 Dec,Android Pocket Onesie Navy,2020-11-30 16:00:00+00:00,276.0,14.0,19.714285714285715
2020 Dec,Android Pocket Tee Green,2020-11-30 16:00:00+00:00,397.0,17.0,23.352941176470587
2020 Dec,Android Pocket Tee Navy,2020-11-30 16:00:00+00:00,824.0,34.0,24.235294117647058
2020 Dec,Android Pocket Toddler Tee Navy,2020-11-30 16:00:00+00:00,334.0,18.0,18.555555555555557
2020 Dec,Android Pocket Youth Tee Green,2020-11-30 16:00:00+00:00,130.0,6.0,21.666666666666668
2020 Dec,Android Pocket Youth Tee Navy,2020-11-30 16:00:00+00:00,185.0,9.0,20.555555555555557
2020 Dec,Android SM S/F18 Sticker Sheet,2020-11-30 16:00:00+00:00,114.0,57.0,2.0
2020 Dec,Android Small Trace Journal Black,2020-11-30 16:00:00+00:00,42.0,8.0,5.25
2020 Dec,Android Super Hero 3D Framed Art,2020-11-30 16:00:00+00:00,228.0,14.0,16.285714285714285
2020 Dec,Android Techie 3D Framed Art,2020-11-30 16:00:00+00:00,284.0,17.0,16.705882352941178
2020 Dec,BLM Unisex Pullover Hoodie,2020-11-30 16:00:00+00:00,58.0,1.0,58.0
2020 Dec,Daddy Works at Google Book,2020-11-30 16:00:00+00:00,328.0,20.0,16.4
2020 Dec,Flamingo and Friends Tee Blue,2020-11-30 16:00:00+00:00,180.0,11.0,16.363636363636363
2020 Dec,Gift Card - $25.00,2020-11-30 16:00:00+00:00,1025.0,41.0,25.0
2020 Dec,Gift Card - $50.00,2020-11-30 16:00:00+00:00,200.0,4.0,50.0
2020 Dec,Google 16 oz Tumbler Blue,2020-11-30 16:00:00+00:00,323.0,32.0,10.09375
2020 Dec,Google 24 oz Ring Bottle Red,2020-11-30 16:00:00+00:00,136.0,22.0,6.181818181818182
2020 Dec,Google 24oz Ring Bottle Blue,2020-11-30 16:00:00+00:00,319.0,52.0,6.134615384615385
2020 Dec,Google Aluminum Bottle Red,2020-11-30 16:00:00+00:00,98.0,15.0,6.533333333333333
2020 Dec,Google ApPeel Journal Red,2020-11-30 16:00:00+00:00,507.0,33.0,15.363636363636363
2020 Dec,Google Austin Campus Bottle,2020-11-30 16:00:00+00:00,99.0,9.0,11.0
