event_date,custom_session_id,revenue
2020-11-01,1494018.5183133777_2370426788,25.0
2020-11-01,4075022.3227633472_2785575045,13.0
2020-11-01,29640692.9507522627_9961229291,55.0
2020-11-01,29640692.9507522627_9961229291,60.0
2020-11-01,70761379.0400304865_7101011336,32.0
2020-11-01,7905299837.6949942550_9969096643,120.0
2020-11-01,2422026.0165722609_9417724700,70.0
2020-11-01,2422026.0165722609_9417724700,2.0
2020-11-01,36638696.4029295753_6944996097,13.0
2020-11-01,36638696.4029295753_6944996097,21.0
2020-11-01,38686208.2125603721_1624570787,16.0
2020-11-01,38686208.2125603721_1624570787,44.0
2020-11-01,68689240.0741071008_4529793128,14.0
2020-11-01,68689240.0741071008_4529793128,38.0
2020-11-01,68689240.0741071008_4529793128,7.0
2020-11-01,3297046.6509553424_9374149941,22.0
2020-11-01,3297046.6509553424_9374149941,29.0
2020-11-01,3297046.6509553424_9374149941,20.0
2020-11-01,3297046.6509553424_9374149941,16.0
2020-11-01,6828468.1695203512_7978541359,14.0
2020-11-01,6828468.1695203512_7978541359,3.0
2020-11-01,6828468.1695203512_7978541359,14.0
2020-11-01,6828468.1695203512_7978541359,16.0
2020-11-01,40765276.6033983074_7396587706,6.0
2020-11-01,40765276.6033983074_7396587706,14.0
2020-11-01,40765276.6033983074_7396587706,14.0
2020-11-01,40765276.6033983074_7396587706,14.0
2020-11-01,33027284.2974994612_3130409540,16.0
2020-11-01,33027284.2974994612_3130409540,8.0
2020-11-01,33027284.2974994612_3130409540,11.0
2020-11-01,33027284.2974994612_3130409540,2.0
2020-11-01,33027284.2974994612_3130409540,13.0
2020-11-01,33027284.2974994612_3130409540,12.0
2020-11-02,10295267.8818269139_5843703569,48.0
2020-11-02,10295267.8818269139_5843703569,20.0
2020-11-02,10295267.8818269139_5843703569,14.0
2020-11-02,10295267.8818269139_5843703569,10.0
2020-11-02,10295267.8818269139_5843703569,16.0
2020-11-02,10295267.8818269139_5843703569,55.0
2020-11-02,10295267.8818269139_5843703569,13.0
